Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
50,0.99578,0,79.5412,-0,1.67503e-07,0,0,0,0,0,0,0.00866098,-0.0158343,0,0.0180482,31.8165,0.140903,0.00422427,-0.00367003,0,0.00559585,1.00647,0,0,0,0,1.31812
51,0.997479,0,79.6847,-0,1.67516e-07,0,0,0,0,0,0,0.00653926,-0.0138381,0,0.0153054,31.8739,0.255715,0.00393352,-0.00397998,0,0.00559578,1.00657,0,0,0,0,1.34673
52,0.999587,0,79.8598,-0,1.67526e-07,0,0,0,0,0,0,0.00484455,-0.0119728,0,0.0129158,31.9439,0.395745,0.00356189,-0.00423028,0,0.00553013,1.00665,0,0,0,0,1.37207
53,1.00148,0,80.0099,-0,1.67524e-07,0,0,0,0,0,0,0.00351532,-0.0102467,0,0.0108329,32.004,0.51585,0.00310006,-0.00436018,0,0.00534991,1.00663,0,0,0,0,1.38734
54,1.00336,0,80.1561,-0,1.67518e-07,0,0,0,0,0,0,0.00249343,-0.00866602,0,0.0090176,32.0624,0.632822,0.00262016,-0.00440811,0,0.00512803,1.00658,0,0,0,0,1.40118
55,1.00508,0,80.2866,-0,1.67506e-07,0,0,0,0,0,0,0.00172462,-0.00723408,0,0.00743681,32.1146,0.737204,0.00207106,-0.00421545,0,0.00469673,1.00649,0,0,0,0,1.38851
56,1.00651,0,80.3984,-0,1.67503e-07,0,0,0,0,0,0,0.00115919,-0.0059503,0,0.00606216,32.1594,0.826636,0.00153452,-0.0038289,0,0.00412495,1.00647,0,0,0,0,1.35266
57,1.00767,0,80.4894,-0,1.67501e-07,0,0,0,0,0,0,0.000753189,-0.00481018,0,0.00486879,32.1958,0.89945,0.001041,-0.00323512,0,0.00339848,1.00645,0,0,0,0,1.28175
58,1.00855,0,80.5595,-0,1.675e-07,0,0,0,0,0,0,0.000469128,-0.00380577,0,0.00383458,32.2238,0.955503,0.000636147,-0.0025121,0,0.0025914,1.00644,0,0,0,0,1.17381
59,1.00917,0,80.6172,-0,1.67513e-07,0,0,0,0,0,0,0.000276236,-0.00292672,0,0.00293973,32.2469,1.00173,0.000336235,-0.00173305,0,0.00176536,1.00655,0,0,0,0,1.02092
