"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          84,      -5.006462513,      -4.028108967,      -4.083718552,      -2.972658573,      -9.950455466
          0,           0,          85,      -5.052596169,      -4.048381413,      -4.090966731,      -3.019874566,       -9.94587038
          0,           0,          86,      -5.094215506,      -4.078988075,      -4.114298165,      -3.060464325,      -9.940898473
          0,           0,          87,      -5.123836777,      -4.119072127,      -4.155763765,      -3.086909625,      -9.935762168
          0,           0,          88,      -5.139654057,      -4.165220197,      -4.215801417,      -3.098843833,      -9.930329121
          0,           0,          89,      -5.147216477,      -4.211002574,      -4.292377974,      -3.103543045,      -9.924727872
          0,           0,          90,      -5.155144061,      -4.247993629,      -4.377479643,      -3.110340361,       -9.91905657
          0,           0,          91,      -5.170524515,      -4.269941805,      -4.451636083,      -3.126182068,      -9.913144305
          0,           0,          92,      -5.197475787,      -4.277435177,      -4.489329992,      -3.154811562,      -9.906853405
          0,           0,          93,      -5.237390262,      -4.277137202,      -4.487127308,      -3.197272768,      -9.900427883
          0,           0,          94,      -5.288972605,      -4.276609938,      -4.468839213,      -3.251857332,      -9.894077074
          0,           0,          95,      -5.347357104,      -4.280785887,      -4.456805232,      -3.312909001,      -9.887809415
          0,           0,          96,      -5.402991951,      -4.291415499,      -4.461362294,      -3.369433261,      -9.881582204
          0,           0,          97,      -5.443716706,      -4.307702822,      -4.485624951,      -3.407932902,      -9.875443592
          0,           0,          98,      -5.463070003,       -4.32698995,      -4.529326305,      -3.422695298,       -9.86921665
          0,           0,          99,       -5.46671082,      -4.345591467,       -4.58921672,      -3.421864366,      -9.863038378
          0,           0,         100,      -5.466845211,        -4.3600215,      -4.656562879,      -3.419152177,      -9.856884665
          0,           0,         101,       -5.47357708,      -4.368450077,      -4.713925849,      -3.424664686,      -9.850895298
          0,           0,         102,      -5.492360816,      -4.371436227,      -4.741257202,      -3.443338973,      -9.844935163
          0,           0,         103,      -5.524974631,      -4.371313913,      -4.736076135,      -3.476458645,      -9.838984661
          0,           0,         104,      -5.570249856,      -4.370811527,      -4.716263031,      -3.522428101,      -9.833049826
          0,           0,         105,      -5.623561384,      -4.371956467,      -4.699903604,      -3.576127404,      -9.827063932
          0,           0,         106,      -5.675614219,      -4.375649775,      -4.696073445,       -3.62769451,      -9.821175597
          0,           0,         107,      -5.713810359,      -4.381749592,      -4.707275967,      -3.664287208,      -9.815431758
          0,           0,         108,      -5.729937094,      -4.389346798,      -4.732323506,      -3.678365195,      -9.809841116
          0,           0,         109,      -5.728145703,      -4.397200085,      -4.767151034,      -3.675170816,      -9.804266581
          0,           0,         110,      -5.720551636,      -4.404155714,      -4.804542393,       -3.66717668,      -9.798664484
          0,           0,         111,      -5.717870939,      -4.409526089,      -4.834882393,      -3.664796438,      -9.793213275
          0,           0,         112,      -5.726116405,      -4.413259083,      -4.850495703,      -3.673615444,      -9.787655403
          0,           0,         113,      -5.747643593,      -4.415848568,      -4.851339468,      -3.695636972,      -9.782221879
          0,           0,         114,      -5.782281972,      -4.418022891,       -4.84472817,      -3.730298529,      -9.776885893
          0,           0,         115,      -5.827513191,      -4.420483757,      -4.839524331,      -3.774582913,      -9.771699657
          0,           0,         116,         -5.877735,       -4.42367645,      -4.842087122,      -3.822303777,      -9.766705726
          0,           0,         117,      -5.923538181,      -4.427686408,      -4.855757067,      -3.863844791,      -9.761900021
          0,           0,         118,      -5.954232006,      -4.432305821,      -4.881592941,      -3.889559716,      -9.757099766
          0,           0,         119,      -5.965343971,      -4.437123762,      -4.918963579,      -3.896924052,      -9.752446597
          0,           0,         120,      -5.962453454,      -4.441697522,      -4.965292829,      -3.892534399,      -9.747694883
          0,           0,         121,      -5.955891137,      -4.445658786,       -5.01538915,        -3.8861883,      -9.742994258
          0,           0,         122,      -5.954152722,      -4.448846626,      -5.061233192,      -3.885376345,      -9.738382482
          0,           0,         123,      -5.961892361,      -4.451322444,       -5.09428115,      -3.893961091,      -9.733901154
          0,           0,         124,      -5.980653484,      -4.453333267,       -5.11072805,      -3.913000072,      -9.729594075
          0,           0,         125,       -6.00978489,      -4.455181567,      -5.114651148,      -3.941317803,       -9.72547751
          0,           0,         126,      -6.046938934,      -4.457159714,         -5.114408,      -3.975963458,      -9.721549039
          0,           0,         127,      -6.087704636,       -4.45947267,      -5.117370643,      -4.012007409,      -9.717805449
          0,           0,         128,      -6.126073527,      -4.462201615,       -5.12796313,      -4.043429076,      -9.714162336
          0,           0,         129,      -6.155675992,      -4.465294465,      -5.147842207,       -4.06490505,       -9.71033883
          0,           0,         130,      -6.173396345,      -4.468621385,      -5.176806945,      -4.075128961,      -9.706395229
          0,           0,         131,      -6.181399985,      -4.472020372,      -5.213045713,       -4.07743827,      -9.702527495
          0,           0,         132,      -6.185041143,      -4.475328634,      -5.253167002,      -4.077235616,      -9.698780874
          0,           0,         133,       -6.18993919,      -4.478419063,        -5.2921603,      -4.079237288,       -9.69517014
          0,           0,         134,      -6.199698853,      -4.481222731,      -5.324235872,      -4.086130235,       -9.69169874
          0,           0,         135,      -6.216533189,      -4.483719398,      -5.345190514,      -4.099162941,      -9.688376948
          0,           0,         136,      -6.240195727,      -4.485945476,      -5.354041276,      -4.117665625,      -9.685207852
          0,           0,         137,      -6.269306672,      -4.487930479,      -5.353023017,      -4.139956876,      -9.682176385
          0,           0,         138,      -6.302189797,      -4.489717681,      -5.345970137,      -4.164082076,      -9.679248235
          0,           0,         139,      -6.335629325,      -4.491370837,       -5.33606288,      -4.187254345,      -9.676249367
          0,           0,         140,      -6.365999529,       -4.49294107,      -5.325320285,      -4.206932928,       -9.67309865
          0,           0,         141,      -6.390792337,      -4.494476232,      -5.315180149,      -4.221702746,      -9.669955015
          0,           0,         142,      -6.407445347,      -4.496035202,      -5.306444273,      -4.230856433,       -9.66691014
          0,           0,         143,      -6.415781175,      -4.497666236,      -5.299894416,      -4.235067233,      -9.663960272
          0,           0,         144,        -6.4167642,       -4.49941626,      -5.296331659,      -4.235378132,      -9.661040081
          0,           0,         145,      -6.412321302,      -4.501338242,      -5.296348564,       -4.23314604,       -9.65822739
          0,           0,         146,      -6.404560842,        -4.5034502,      -5.300295848,      -4.229472477,      -9.655526791
          0,           0,         147,        -6.3953867,      -4.505753393,      -5.308107339,      -4.225397253,      -9.652917048
          0,           0,         148,      -6.386879932,      -4.508231246,      -5.319236076,      -4.221969713,      -9.650422252
          0,           0,         149,      -6.381094883,      -4.510842343,      -5.332616476,      -4.220241442,      -9.648010664
          0,           0,         150,      -6.379767985,      -4.513527371,       -5.34674085,      -4.221122895,      -9.645661781
          0,           0,         151,      -6.383760601,      -4.516218476,      -5.359801726,      -4.224994592,      -9.643303643
          0,           0,         152,      -6.393720121,      -4.518854831,      -5.370221714,      -4.232320898,      -9.640661751
          0,           0,         153,      -6.409568044,       -4.52138505,      -5.377212535,      -4.242845588,      -9.638079061
          0,           0,         154,       -6.43064623,      -4.523775181,      -5.380852123,      -4.255889484,      -9.635571144
          0,           0,         155,      -6.455628508,      -4.526018935,      -5.382127472,      -4.270489147,      -9.633142579
          0,           0,         156,      -6.481221356,      -4.528127023,      -5.382345767,      -4.284824718,      -9.630803452
          0,           0,         157,      -6.503839923,       -4.53012821,      -5.382857139,      -4.297250928,      -9.628549981
          0,           0,         158,      -6.519228966,      -4.532066829,      -5.384632509,       -4.30624316,       -9.62632222
          0,           0,         159,      -6.526199965,      -4.533992153,      -5.388213307,      -4.311516364,       -9.62416178
          0,           0,         160,      -6.523162203,      -4.535947688,      -5.393544629,      -4.312578121,      -9.622068695
          0,           0,         161,      -6.514185583,      -4.537974707,      -5.400211017,      -4.311004726,      -9.620060181
          0,           0,         162,      -6.503061956,      -4.540105837,       -5.40768836,       -4.30823262,      -9.618144168
          0,           0,         163,      -6.493189246,      -4.542355079,      -5.415533356,      -4.305782213,      -9.616248638
