"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         208,      -5.927312869,      -4.243985169,      -4.438347396,      -3.752902021,      -6.852454974
          0,           0,         209,      -5.928282661,      -4.244188321,      -4.439229091,      -3.753763252,      -6.855703309
          0,           0,         210,      -5.932711902,      -4.245294453,      -4.440196617,      -3.757302903,      -6.861493617
          0,           0,         211,      -5.935231724,      -4.246816407,      -4.441783525,      -3.759880591,      -6.865054966
          0,           0,         212,      -5.938037676,      -4.248563838,      -4.444272853,      -3.762777307,      -6.866084632
          0,           0,         213,      -5.944631116,        -4.2513041,      -4.446997065,      -3.768906931,      -6.869907442
          0,           0,         214,      -5.952123754,      -4.254603789,       -4.45003693,      -3.775304697,      -6.873943911
          0,           0,         215,      -5.958850009,      -4.258348482,      -4.453934518,      -3.781935192,      -6.875080489
          0,           0,         216,      -5.965849043,      -4.262425665,      -4.458392867,      -3.789277346,      -6.877798639
          0,           0,         217,      -5.974789582,      -4.266904527,      -4.462926661,      -3.797725767,      -6.879512122
          0,           0,         218,      -5.983361164,      -4.271840745,      -4.467604549,      -3.806462062,      -6.881453549
          0,           0,         219,      -5.991346471,       -4.27690364,       -4.47245482,      -3.815028806,      -6.885645172
          0,           0,         220,      -6.001804346,      -4.282145934,      -4.477368317,      -3.825302636,      -6.886079459
          0,           0,         221,      -6.011118017,      -4.287530747,      -4.482064052,      -3.834955414,      -6.887230647
          0,           0,         222,      -6.019359983,      -4.292681352,      -4.486775843,      -3.844073511,      -6.890611301
          0,           0,         223,      -6.028444349,      -4.297799221,      -4.491226763,      -3.854022898,      -6.894092682
          0,           0,         224,      -6.039261741,      -4.302623438,      -4.495461063,      -3.864357945,      -6.898692459
          0,           0,         225,      -6.043659561,       -4.30756758,      -4.499267709,      -3.871247799,      -6.904083917
          0,           0,         226,      -6.057950413,      -4.312106766,      -4.502917202,       -3.88415848,       -6.91191849
          0,           0,         227,      -6.066878644,      -4.316403576,      -4.506235836,      -3.893636023,      -6.918722215
          0,           0,         228,       -6.07435424,      -4.320375919,      -4.509071216,      -3.902014511,      -6.922029901
          0,           0,         229,      -6.083563711,      -4.324140404,      -4.511482113,      -3.911458214,      -6.924934788
          0,           0,         230,      -6.089260549,      -4.327978643,      -4.513401119,      -3.918727031,      -6.929840969
          0,           0,         231,      -6.097639219,      -4.331377121,       -4.51526908,      -3.927109498,      -6.934810963
          0,           0,         232,      -6.104802761,      -4.334557469,      -4.516982655,      -3.934981937,      -6.941511974
          0,           0,         233,      -6.111538536,      -4.337626582,      -4.518426885,      -3.942572873,      -6.951929686
          0,           0,         234,      -6.116910802,      -4.340624276,      -4.519657191,      -3.949256672,      -6.957962698
          0,           0,         235,      -6.121538341,      -4.343400009,      -4.520776692,      -3.955590278,      -6.960033126
          0,           0,         236,      -6.126672713,      -4.346198367,      -4.521630263,      -3.962156512,      -6.962282314
          0,           0,         237,      -6.133375277,      -4.348799606,      -4.522425523,      -3.969352986,      -6.966940514
          0,           0,         238,      -6.139727605,      -4.351358138,      -4.523150228,      -3.976554303,       -6.97131758
          0,           0,         239,      -6.138881717,      -4.353454758,      -4.523651461,      -3.978845843,      -6.977266419
          0,           0,         240,      -6.147480088,      -4.355777423,      -4.524112678,      -3.987449374,        -6.9867863
          0,           0,         241,      -6.153219802,       -4.35796099,      -4.524452632,      -3.993903077,      -6.997079446
          0,           0,         242,      -6.157666734,      -4.360037944,      -4.524852582,      -3.999521677,      -7.005297653
          0,           0,         243,      -6.161577845,      -4.362087611,      -4.525281368,      -4.004917334,      -7.008228628
          0,           0,         244,      -6.165299281,      -4.364158699,      -4.525758998,      -4.010214553,      -7.014025608
          0,           0,         245,      -6.168943747,       -4.36629035,      -4.526310858,      -4.015491056,      -7.024788958
          0,           0,         246,      -6.172459298,      -4.368528418,      -4.526977688,      -4.020775587,      -7.034658312
          0,           0,         247,      -6.176396973,      -4.370879073,      -4.527818954,      -4.026489537,      -7.036408623
          0,           0,         248,      -6.180491571,      -4.373336769,      -4.528831264,      -4.032410311,      -7.039871584
          0,           0,         249,      -6.184644271,      -4.375937884,      -4.530003691,      -4.038535836,      -7.048089541
          0,           0,         250,        -6.1892165,      -4.378643947,      -4.531361053,      -4.045029328,      -7.061720753
          0,           0,         251,      -6.193768225,      -4.381452702,      -4.532935329,      -4.051673141,      -7.076644972
          0,           0,         252,      -6.196581915,      -4.384107723,      -4.534573057,      -4.056868202,       -7.08183081
          0,           0,         253,      -6.201984977,       -4.38706669,      -4.536332288,      -4.064586101,        -7.0853809
          0,           0,         254,      -6.205958506,       -4.38985997,      -4.538215725,      -4.070655769,      -7.088583107
          0,           0,         255,      -6.211502324,      -4.392846193,      -4.540322043,      -4.078418201,      -7.091481756
          0,           0,         256,      -6.216654252,      -4.395788533,      -4.542549604,      -4.085860212,      -7.094160177
          0,           0,         257,      -6.221436587,      -4.398718851,      -4.544910317,      -4.093029418,       -7.09688985
          0,           0,         258,      -6.225762825,       -4.40170047,      -4.547418627,      -4.099943044,      -7.099476368
