"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         163,      -4.789449596,      -4.891896362,      -5.201143307,       -4.18188362,      -6.578438471
          0,           0,         164,      -4.810612015,      -4.898378813,      -5.210656443,      -4.202957049,      -6.579559675
          0,           0,         165,      -4.831967601,      -4.905906439,       -5.21848481,      -4.224351809,      -6.582842744
          0,           0,         166,      -4.853607234,      -4.914693186,      -5.225165765,      -4.246173723,      -6.588148499
          0,           0,         167,      -4.875162317,      -4.924800167,      -5.231369748,      -4.268044532,      -6.595231644
          0,           0,         168,      -4.896840677,      -4.936166083,      -5.237680045,      -4.290129329,      -6.603709884
          0,           0,         169,       -4.91940038,      -4.948584001,      -5.244687741,       -4.31317868,      -6.613212858
          0,           0,         170,      -4.942445369,      -4.961645184,      -5.253020996,      -4.336810836,        -6.6233074
          0,           0,         171,      -4.966540517,      -4.974806203,      -5.263023774,      -4.361640648,      -6.633542906
          0,           0,         172,      -4.992126692,      -4.987419462,      -5.274793997,      -4.388206867,      -6.643454607
          0,           0,         173,      -5.019045688,      -4.998973456,      -5.288273004,      -4.416486057,      -6.652690523
          0,           0,         174,      -5.046826858,      -5.009064836,      -5.303113315,      -4.446158112,      -6.660971463
          0,           0,         175,      -5.074228382,      -5.017333403,      -5.318563717,      -4.476093332,      -6.668142765
          0,           0,         176,      -5.098789772,      -5.023682429,      -5.333946497,      -4.503770396,      -6.674098449
          0,           0,         177,      -5.116919805,      -5.028074185,      -5.348332876,      -4.525173783,      -6.678783187
          0,           0,         178,      -5.124222081,      -5.030552584,      -5.360777269,      -4.534991971,      -6.682172419
          0,           0,         179,      -5.116961932,      -5.031212342,      -5.370462574,      -4.528355156,      -6.684316618
          0,           0,         180,      -5.094338158,      -5.030135856,      -5.376754657,       -4.50391823,      -6.685319721
          0,           0,         181,      -5.059368818,       -5.02743285,      -5.379452557,       -4.46528649,      -6.685304054
          0,           0,         182,       -5.01702244,      -5.023267893,      -5.378782988,      -4.418535412,      -6.684432167
          0,           0,         183,      -4.972461919,      -5.017080405,       -5.37424798,      -4.369480842,      -6.682878245
          0,           0,         184,      -4.930418037,      -5.008975888,      -5.365930785,      -4.323391547,      -6.680840677
          0,           0,         185,      -4.892710135,      -4.999613908,      -5.353992082,      -4.282212459,      -6.678569608
          0,           0,         186,      -4.861309013,      -4.990953046,       -5.33809656,       -4.24771043,      -6.676294231
          0,           0,         187,       -4.83603197,      -4.987760508,      -5.322638032,      -4.219900493,      -6.674235965
          0,           0,         188,      -4.814160274,      -4.985082604,      -5.312867627,      -4.195975882,      -6.672588507
          0,           0,         189,      -4.795727931,      -4.978079036,      -5.307997054,       -4.17556434,      -6.671492386
          0,           0,         190,       -4.78365915,      -4.967765435,      -5.303530178,      -4.161365511,       -6.67103661
          0,           0,         191,      -4.778765919,      -4.965612291,      -5.298024221,      -4.154630357,      -6.671248617
          0,           0,         192,      -4.777207484,      -4.974950123,      -5.297829141,      -4.151912887,      -6.672106593
          0,           0,         193,      -4.776059607,      -4.977244289,       -5.30238247,      -4.149614347,      -6.673537997
          0,           0,         194,      -4.780524373,      -4.973065182,      -5.307448559,      -4.153095948,      -6.675432765
          0,           0,         195,      -4.788561113,      -4.983157044,      -5.310770998,      -4.160758246,      -6.677650754
          0,           0,         196,      -4.793356314,      -4.987192455,      -5.317636515,      -4.165438936,        -6.6800469
          0,           0,         197,       -4.80032927,      -4.987459131,      -5.321917457,      -4.172813281,      -6.682490267
          0,           0,         198,       -4.80417527,       -4.99851914,      -5.327241354,      -4.177099663,      -6.684869032
          0,           0,         199,       -4.80792317,      -4.995532501,      -5.333206023,      -4.181494062,      -6.687108725
          0,           0,         200,      -4.813773911,      -5.006820587,      -5.344319651,      -4.187639772,      -6.689166434
          0,           0,         201,      -4.813363873,      -5.012431393,      -5.355099637,      -4.187813716,      -6.691030368
          0,           0,         202,      -4.816085391,      -5.004628099,      -5.366268864,      -4.189863104,       -6.69269895
