"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         189,      -5.506743919,      -3.321864753,      -4.341051983,      -1.480600065
          0,           0,         190,      -5.513039836,      -3.328351004,      -4.350278054,      -1.483427286
          0,           0,         191,      -5.517681372,      -3.333182665,      -4.358889056,      -1.500667378
          0,           0,         192,      -5.525058667,      -3.340665797,      -4.369168585,      -1.502534712
          0,           0,         193,      -5.529973551,      -3.345728282,       -4.37802502,      -1.519804684
          0,           0,         194,      -5.535547829,      -3.351623779,      -4.386215091,      -1.521494231
          0,           0,         195,      -5.541574795,      -3.357710276,      -4.396083745,      -1.536897916
          0,           0,         196,      -5.547384895,      -3.363828762,      -4.404726129,      -1.539255148
          0,           0,         197,      -5.551630028,      -3.368364377,      -4.412350294,      -1.554340717
          0,           0,         198,      -5.558530489,      -3.375494034,      -4.421929045,      -1.555292072
          0,           0,         199,       -5.56305362,      -3.380288197,      -4.429855563,      -1.570455546
          0,           0,         200,      -5.568171267,       -3.38587861,      -4.437390603,      -1.571165469
          0,           0,         201,      -5.573796791,       -3.39170047,      -4.446224539,      -1.584744762
          0,           0,         202,        -5.5791705,      -3.397548174,      -4.454113298,      -1.585965029
          0,           0,         203,      -5.583050259,      -3.401873357,       -4.46077447,      -1.599334106
          0,           0,         204,      -5.589503279,      -3.408736708,      -4.469447198,      -1.599288913
          0,           0,         205,      -5.593667455,      -3.413343429,      -4.476311618,      -1.613079622
          0,           0,         206,      -5.598371442,      -3.418716342,      -4.482883748,      -1.612583446
          0,           0,         207,      -5.603634193,      -3.424349856,      -4.490628458,      -1.625193024
          0,           0,         208,      -5.608604288,      -3.429997959,      -4.497415525,      -1.625271024
          0,           0,         209,      -5.612155341,      -3.434177913,       -4.50301627,      -1.637782741
          0,           0,         210,      -5.618203662,      -3.440835998,      -4.510501732,      -1.636792552
          0,           0,         211,      -5.622051515,      -3.445308549,      -4.516317958,      -1.650059404
          0,           0,         212,      -5.626384934,      -3.450514202,      -4.521794879,      -1.648574155
          0,           0,         213,      -5.631333826,      -3.456001641,      -4.528554165,      -1.661057028
          0,           0,         214,      -5.635948628,      -3.461486808,      -4.534223208,      -1.660306962
          0,           0,         215,      -5.639216518,      -3.465552923,         -4.538978,      -1.672816219
          0,           0,         216,      -5.644927673,      -3.472039139,      -4.545460342,      -1.671130992
          0,           0,         217,      -5.648508324,      -3.476394836,      -4.550578507,      -1.684655545
          0,           0,         218,      -5.652515626,      -3.481445082,      -4.555106194,      -1.682812068
          0,           0,         219,      -5.657195915,      -3.486792969,      -4.560992602,       -1.69583548
          0,           0,         220,      -5.661513633,      -3.492122901,      -4.565871216,      -1.694633527
          0,           0,         221,      -5.664547378,      -3.496074345,      -4.570231621,       -1.70761238
          0,           0,         222,      -5.669944228,      -3.502365155,      -4.575827874,      -1.706045515
          0,           0,         223,      -5.673304952,      -3.506600662,      -4.580376229,       -1.72003652
          0,           0,         224,       -5.67705313,      -3.511492006,      -4.584551774,      -1.718143837
          0,           0,         225,      -5.681528334,      -3.516697047,       -4.59020876,      -1.731742618
          0,           0,         226,      -5.685584305,      -3.521848601,      -4.594501701,      -1.730956365
          0,           0,         227,      -5.688432888,      -3.525677153,       -4.59845399,      -1.744413441
          0,           0,         228,      -5.693604555,      -3.531781674,      -4.603909137,      -1.743124253
          0,           0,         229,      -5.696796037,      -3.535885717,      -4.608422431,      -1.757616705
          0,           0,         230,      -5.700315692,      -3.540594778,       -4.61217772,      -1.756348924
          0,           0,         231,        -5.7046233,      -3.545649256,      -4.617478388,      -1.770320371
